zip_file,status,audio_found,audio_made_smaller,before_bytes,after_bytes,before_mib,after_mib,saved_bytes,saved_percent,output_file
LIDO_drawshape0001.zip,compressed,1,1,27355,25581,0.03,0.02,1774,6.49,/home/santhosh/Desktop/audio-compressed-zips/LIDO_drawshape0001.zip
LIDO_drawshape0006.zip,compressed,1,1,24656,23406,0.02,0.02,1250,5.07,/home/santhosh/Desktop/audio-compressed-zips/LIDO_drawshape0006.zip
LIDO_drawshape0008.zip,compressed,1,1,27920,25595,0.03,0.02,2325,8.33,/home/santhosh/Desktop/audio-compressed-zips/LIDO_drawshape0008.zip
LIDO_drawshape0005.zip,compressed,1,1,33580,32083,0.03,0.03,1497,4.46,/home/santhosh/Desktop/audio-compressed-zips/LIDO_drawshape0005.zip
LIDO_drawshape0010.zip,compressed,1,1,37492,35333,0.04,0.03,2159,5.76,/home/santhosh/Desktop/audio-compressed-zips/LIDO_drawshape0010.zip
LIDO_drawshape0015.zip,compressed,1,1,34288,33208,0.03,0.03,1080,3.15,/home/santhosh/Desktop/audio-compressed-zips/LIDO_drawshape0015.zip
LIDO_matchingcard0005.zip,unchanged (compression gave no saving),0,0,33572,33572,0.03,0.03,0,0,/home/santhosh/Desktop/audio-compressed-zips/LIDO_matchingcard0005.zip
LIDO_maths1509_en.zip,unchanged (compression gave no saving),0,0,33096,33096,0.03,0.03,0,0,/home/santhosh/Desktop/audio-compressed-zips/LIDO_maths1509_en.zip
LIDO_maths1509_hi.zip,unchanged (compression gave no saving),0,0,33094,33094,0.03,0.03,0,0,/home/santhosh/Desktop/audio-compressed-zips/LIDO_maths1509_hi.zip
LIDO_maths1509_kn.zip,unchanged (compression gave no saving),0,0,33098,33098,0.03,0.03,0,0,/home/santhosh/Desktop/audio-compressed-zips/LIDO_maths1509_kn.zip
LIDO_maths1510_en.zip,unchanged (compression gave no saving),0,0,33137,33137,0.03,0.03,0,0,/home/santhosh/Desktop/audio-compressed-zips/LIDO_maths1510_en.zip
LIDO_maths1510_hi.zip,unchanged (compression gave no saving),0,0,33139,33139,0.03,0.03,0,0,/home/santhosh/Desktop/audio-compressed-zips/LIDO_maths1510_hi.zip
LIDO_maths1510_kn.zip,unchanged (compression gave no saving),0,0,33108,33108,0.03,0.03,0,0,/home/santhosh/Desktop/audio-compressed-zips/LIDO_maths1510_kn.zip
